,会社名,給与,情報更新日
1,株式会社YAZAWA LUMBER,"【月給】33万8,000円以上 + 各種手当 + 時間外手当 +インセンティブ ※経験、能力、前職給与を考慮のう…",2021/07/23
2,株式会社YAZAWA LUMBER,"【月給】35万5,000円以上 + 各種手当 + 時間外手当 +インセンティブ ※経験、能力、前職給与を考慮のう…",2021/07/23
3,株式会社YAZAWA LUMBER,"【月給】29万4,000円以上 + 各種手当 + 時間外手当 + インセンティブ ※経験、能力、前職給与を考慮のう…",2021/07/23
4,株式会社YAZAWA LUMBER,"【月給】35万5,000円以上 + 各種手当 + 時間外手当 +インセンティブ ※経験、能力、前職給与を考慮のう…",2021/07/23
5,株式会社YAZAWA LUMBER,"【月給】35万5,000円以上 + 各種手当 + 時間外手当 +インセンティブ ※経験、能力、前職給与を考慮のう…",2021/07/23
6,ダイハツ工業株式会社,月給25万円以上 ※経験や年齢などを考慮の上、当社規定により優遇します ※試用期間6ヶ月あり（待遇の変…,2021/07/30
7,豊ハイテック株式会社,《 月給30万円〜70万円 ＋ 各種手当 ＋ 賞与（平均4.3ヶ月分） 》 ”前職給与”を最大限考慮させていただ…,2021/07/30
8,株式会社アヴァンティスタッフ,月給21万5000円〜28万円（固定残業代なし）＋賞与年2回（昨年実績3.25ヶ月分相当） ※前職、経験、能力を…,2021/07/30
9,株式会社クレディセゾン,"月給33万5,000円〜 ※経験・スキルに応じて決定いたします。",2021/07/29
10,株式会社クレディセゾン,"月給33万5,000円〜 ※経験・スキルに応じて決定いたします。",2021/07/20
11,ランスタッド株式会社,月給24万〜36万円 + インセンティブ年4回＋各種手当 ※経験・スキルを考慮の上決定します ※30時間分の固…,2021/07/07
12,東芝テック株式会社,"月給217,000円＋各種手当＋賞与（昨年実績4.8か月分） ※これはあくまでも新卒初任給です。 ※経験・スキ…",2021/07/30
13,株式会社クレディセゾン,"月給33万5,000円〜 ※経験・スキルに応じて決定いたします。",2021/07/29
14,NTTコムマーケティング株式会社,月給20万4000円〜＋インセンティブ＋時間外手当 ※経験・年齢を考慮の上、当社規定により優遇します ※…,2021/07/13
15,マンパワーグループ株式会社,月給25.4万円以上（一律手当込み）＋ 賞与（年2回） ※経験・スキルを考慮の上、決定します。 ※試用期…,2021/07/02
16,TVS REGZA株式会社,月給：25万円以上 入社6か月後の正社員登用後はインセンティブ支給あり！ ※1000万円プレイヤーも複数名…,2021/07/30
17,株式会社アイエンター,月給：25万円以上 ＋ 諸手当 ＋ 賞与 ※経験・能力・スキル等を考慮の上、当社規定により決定します。 …,2021/07/27
18,株式会社エッグシステム,月給：30万〜40万円＋賞与 ※経験・スキルを考慮の上、決定します。,2021/07/16
19,株式会社ジンジブ,月給23万円〜30万円＋各種手当＋業績賞与年4回 ※経験・能力等を考慮の上、当社規定により決定します。 …,2021/08/02
20,株式会社REJECT,月給28万円〜50万円 ※経験・スキルなどを考慮のうえ、決定いたします。 ※固定残業代（25時間分／5万円…,2021/07/28
21,株式会社REJECT,月給25万円〜50万円 ※経験・スキルなどを考慮のうえ、決定いたします。 ※固定残業代（25時間分／5万円…,2021/07/29
22,株式会社スカイダイニング,月給50万円以上 ※上記はあくまで最低支給額です。 ※経験・スキル・年齢等を考慮の上、優遇いたします。…,2021/06/28
23,株式会社FLI,月給23万円〜30万円＋インセンティブ＋各種手当 ※前職での給与やスキル・経験を考慮の上で決定します,2021/08/02
24,合同会社ファニプロ,"月給300,000円〜450,000円 ※経験・スキルを考慮の上、決定します。",2021/07/30
25,青写真株式会社,"月給250,000円〜450,000円 ・年齢や能力などを十分考慮し、相談の上決定します。 ・試用期間3ヶ月あり…",2021/07/23
26,Bitgate株式会社,年俸400万円〜＋交通費＋時間外手当等 ※経験・年齢・能力などを考慮し、当社規定により決定します。 ※…,2021/07/23
27,日本テトラパック株式会社,月給：30万円〜45万円 ※経験・スキルを考慮し、決定します。 ※別途残業代支給 ※試用期間3ヵ月（同条件…,2021/07/09
28,日本シビックコンサルタント株式会社,"月給：237,900円〜＋諸手当 【月給例（大卒総合職）】 ■30代 〜377,400円＋諸手当（管理職採用の場合〜…",2021/07/14
29,株式会社SpaceEstate,◆月給／22〜25万円＋歩合給 ※経験やスキルに応じて優遇します。 ※試用期間6ヶ月あり(基本給などの待…,2021/08/03
30,株式会社ジールアソシエイツ,月給25万円〜 ※固定残業代30時間／6万円〜を含む。超過分は別途支給 ※経験・能力等を考慮の上当社規定…,2021/07/09
31,マンパワーグループ株式会社,"月給344,000円〜（一律手当込み）＋ 賞与（年2回） ※経験・スキルを考慮の上、決定します。 ※試用期間…",2021/08/13
32,マンパワーグループ株式会社,"月給250,300円〜（一律手当込み）＋ 賞与（年2回） ※経験・スキルを考慮の上、決定します。 ※試用期間…",2021/08/13
33,マンパワーグループ株式会社,"月給25万9,000円(一律手当含む)〜 ※経験・能力により優遇します ※試用期間3ヵ月(期間中の待遇に変動は…",2021/08/13
34,マンパワーグループ株式会社,"月給260,000円（一律手当込み）＋ 賞与（年2回） ※経験・スキルを考慮の上、決定します。 ※試用期間3…",2021/08/13
35,マンパワーグループ株式会社,"月給250,300円（一律手当込み）＋ 賞与（年2回） ※経験・スキルを考慮の上、決定します。 ※試用期間3…",2021/08/13
36,マンパワーグループ株式会社,"月給250,300円〜268,000円（一律手当込み）＋ 賞与（年2回） ※経験・スキルを考慮の上、決定します。 …",2021/08/13
37,ダイセルミライズ株式会社,月給25万円〜 ※スキル・経験に応じて弊社規定により決定します。 ※上記には3万円の固定残業代(〜15時…,2021/08/06
38,Fixel 株式会社,年俸300万円〜1000万円 ※試用期間3カ月,2021/07/30
39,サイバネットシステム株式会社,"月給275,000円〜530,000円 ＋ 賞与（年2回） ※スキル、経験に応じて決定しています。",2021/08/02
40,JFEプロジェクトワン株式会社,月給25万円〜45万円 ※経験・スキルを考慮の上決定します。 ※試用期間3ヵ月あり。期間中は嘱託社員とな…,2021/07/20
41,チェスト株式会社,"月給22万2000円以上 ※経験・年齢を考慮の上、当社規定により優遇します。 ※固定残業手当（52,000円〜…",2021/08/11
42,株式会社ポニーキャニオン,年俸制500万〜700万円 ＋ 期末賞与 ※あなたの年齢・経験・能力を考慮のうえ、優遇いたします。 ※上記…,2021/07/27
43,株式会社ポニーキャニオン,年俸制500万〜700万円 ＋ 期末賞与 ※あなたの年齢・経験・能力を考慮のうえ、優遇いたします。 ※上記…,2021/07/27
44,浜松ファイナンシャルプランナーズ事務所株式会社,"月給：22万5,000円〜43万4,000円+諸手当+賞与 ※年齢・経験を考慮の上、当社規定により決定します。 ※試…",2021/06/11
45,浜松ファイナンシャルプランナーズ事務所株式会社,"月給：22万5,000円〜43万4,000円+諸手当+賞与 ※年齢・経験を考慮の上、当社規定により決定します ※試…",2021/06/11
46,株式会社ヤマシタ,"月給276,000円〜484,000円+賞与年2回 ※経験・スキル等を考慮し決定します ※試用期間3カ月あり。待遇に…",2021/06/04
47,株式会社アイオス,月給／27万円〜52万円 + 賞与（4.5ヶ月分／前年度実績） ※前職給与・経験・能力・スキル等を考慮し、決…,2021/08/10
48,株式会社ヴィンクス,月給24万円〜51万5000円＋賞与年2回（昨年実績4.2ヶ月分） ※経験・スキルにより金額を決定。 試用期間：…,2021/06/01
49,株式会社ヴィンクス,月給26万円〜50万円＋賞与年2回（昨年実績4.2ヶ月分） ※経験・スキルにより金額を決定。 試用期間：有 2…,2021/06/01
50,株式会社ヴィンクス,月給23万円〜31万円＋賞与年2回（昨年実績4.2ヶ月分） ※経験・スキルにより金額を決定。 試用期間：有 2…,2021/06/01
51,株式会社ヴィンクス,月給25万円〜46万円＋賞与年2回（昨年実績4.2ヶ月分） ※経験・スキルにより金額を決定。 試用期間：有 2…,2021/06/01
